password, expectedSize, expectedMsg
"", 1, "Password cannot be empty."
" ", 1, "Password cannot be empty."
"Jei4h", 1, "Password must be between 6 and 24 characters long."
"CmXwVvZDeVXqwmcE3A23cEuyjA3", 1, "Password must be between 6 and 24 characters long."
"LqNsxaWFftJgXBkhJU", 1, "Password must contain at least one number."
"bmv1pmrkj77nt2brbz", 1, "Password must contain at least one uppercase letter."
"VKZMGAM6EJXQURJKYF", 1, "Password must contain at least one lowercase letter."
"jeki3", 2, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter.'"
"7g6nmpppekzs68bqt4xr9gxqzysa1bneph183759", 2, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter.'"
"ZTVpVFNwbXYNvgeuLbnCEPcVhbEqjKmwksKDOsnsi", 2, "'Password must be between 6 and 24 characters long., Password must contain at least one number.'"
"tMymv", 2, "'Password must be between 6 and 24 characters long., Password must contain at least one number.'"
"THISISABADPASSWORD",2,"'Password must contain at least one lowercase letter., Password must contain at least one number.'"
"thisisalsoamalpassword",2,"'Password must contain at least one uppercase letter., Password must contain at least one number.'"
"1234869098765", 2, "'Password must contain at least one uppercase letter., Password must contain at least one lowercase letter.'"
"MDSLI", 3, "'Password must be between 6 and 24 characters long., Password must contain at least one lowercase letter., Password must contain at least one number.'"
"mphkn", 3, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter., Password must contain at least one number.'"
"UJDLDGXGFIIFSJPJZMEFQTETU", 3 , "'Password must be between 6 and 24 characters long., Password must contain at least one lowercase letter., Password must contain at least one number.'"
"chkxpnsdtcakxvbrynvpdvmseitjndf", 3, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter., Password must contain at least one number.'"
"1234", 3, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter., Password must contain at least one lowercase letter.'"
"1234567890123456789012345678090", 3, "'Password must be between 6 and 24 characters long., Password must contain at least one uppercase letter., Password must contain at least one lowercase letter.'"
