apretujarse;ñitinaku
abrir;kicha
apurar;utqa
aburrir;ami
arar;yapu
acercarse;asuyku
arrancar;siki
acostumbrarse;yachaku
arrastrar;qatata
adelantar;ñawpa
adormecer;susunka
arreglar;allicha
agarrar;hapi
arreglarse;allichaku
agarrarse;hapipaku
arrimar;qimi
bailar;tusu
criar;uywa
bajar;urayku
culpar;tumpa
barrer;picha
beber;upya
dar;qu
besar;mucha
dar de comer;mikuchi
dar fruto;ruru
buscar;maska
dar papirotes;tinka
dar puñetes;saqma
calentar;quñichi
dar vuelta;muyu
calentarse;quñiku
decir;ni
callar;upalla
cantar;taki
delirar;muspa
empujar;tanqa
fatigarse;pisipa
empujarse;tanqanaku
florecer;sisa
encender;rupachi
flotar;tuytu
encontrar;tari
golpear;taka
encontrarse;tinku
gotear;sutu
endulzar;miskichi
gritar;qapari
enfermarse;unqu
guardar;waqaycha
enflaquecer;tulluya
hacer;rura
enfriar;chirichi
engendrar;yuma
engordar;wiraya
engrasar;wiracha
enroscarse;arwiku
ensangrentar;yawarcha
hacer alegrar;kusichi
hacer asustar;manchachi
hacer creer;iñichi
hacer descansar;samachi
hacer dormir;puñuchi
curar;alliyachi, hampi
arrear, seguir;qati
acabar;puchuka, tuku
arder, quemar;rupa, rawra
botar, arrojar;wischu, qarqu
caer;wichi, urma
